Id,r01,r02,r03,r04,r05,r06,r07,r08,r09,r10
0,"No especificada",0,0,0.00000,0,0,0,0.00000,NULL,0
1,"L 1 COMERCIO",0,0,0.00000,2,120,3,0.00000,0,0
2,"L 2 VILLARINO",0,0,0.00000,2,120,3,0.00000,0,0
3,"L3 MAYORISTA",0,0,0.00000,2,120,3,0.00000,0,0
4,"L 4 P ALTA/SIERRA",0,0,0.00000,2,120,3,0.00000,0,0
5,"L 5 M HERMOSO/DORREGO",0,0,0.00000,2,120,3,0.00000,0,0
7,"L 7 GRUPO DON BARTOLOMEO",0,0,0.00000,2,120,3,0.00000,0,0
9,"L 9 SUCURSALES",0,0,0.00000,2,120,3,0.00000,0,0
11,"L 10 PLANETA EMPANADA",0,0,0.00000,2,120,3,0.00000,0,0
23,"L 23 MITILLI JORGE",0,0,0.00000,2,120,3,0.00000,0,0
27,"L27 DEVOLUCIONES",0,0,0.00000,2,120,3,0.00000,0,0
28,"L28 KLEJA",0,0,0.00000,2,120,3,0.00000,0,0
32,"L32 FRA-VA",0,0,0.00000,2,120,3,0.00000,0,0
41,"L41 ENV AL VACIO",0,0,0.00000,2,120,3,0.00000,0,0
42,"LOS AMIGOS EVENTOS",0,0,0.00000,2,120,0,0.00000,0,0
43,"L ROMASCO",0,0,0.00000,2,120,0,0.00000,0,0
44,"L44 PASTAS LEO",0,0,0.00000,2,120,0,0.00000,0,0
45,"L45 SUCURSALES",0,0,10.00000,2,120,0,0.00000,1,0
46,"LISTA PERU",0,0,0.00000,2,120,0,0.00000,1,0
47,"SCHWERDT ARIEL",0,0,0.00000,2,120,3,0.00000,1,0
