
















































































































































ol activo:  EXPORTAR_HOLISTOR.INIT
08-02-2024 14:55:22 , Verificando Licencia
08-02-2024 14:56:32 , Informe por excel
08-02-2024 14:56:34 , Version 16.0
15-02-2024 10:57:39 , Verificando Licencia
15-02-2024 11:15:19 , Error: El archivo 'csrproducto.dbf' no existe. Linea : SELECT 0 as ok,CsrProducto.nombre as cnombre,CsrProducto.numero as cnumero,CsrProducto.id as cid ,SPACE(10) as wcampo05,space(10) as wcampo06,00000000.00 as wcampo07 ,00000000.0
















































































































































0 as wcampo08,space(10) as wcampo09 from CsrProducto order by cnombre into cursor _CsrProducto READWRITE Error :          1 Ultimo Alias Activo:  Ultimo registro:          0  DBF:  Ultimo Control activo:  EST_RANKPRODUCTOS.CMDCARGAGRILLA.CLICK
15-02-2024 11:42:48 , Error: No se encuentra el alias 'OCONFIGTERMI'. Linea : IF oConfigTermi.FoxyPreviewer = 'TRUE' Error :         13 Ultimo Alias Activo:  Ultimo registro:          0  DBF:  Ultimo Control activo:  EST_RANKPRODUCTOS.IMPRIMIR_VISTAPREVI















































































































































A1.INIT
15-02-2024 11:42:59 , Verificando Licencia
15-02-2024 11:43:22 , Error: No se encuentra la propiedad SINEDITABLE. Linea : .estadistica.sineditable = .chkeditable.Value Error :       1734 Ultimo Alias Activo: _CSRPRODUCTO Ultimo registro:          1 CNUMERO DBF: C:\USERS\MARCOS\APPDATA\LOCAL\TEMP\













































































































































0000B6DL00OU.TMP Ultimo Control activo:  EST_RANKPRODUCTOS.IMPRIMIR_VISTAPREVIA1.IMPRESORA.CLICK
20-02-2024 10:23:48 , Verificando Licencia
20-02-2024 10:38:08 , Verificando Licencia
20-02-2024 10:50:25 , Verificando Licencia
20-02-2024 16:51:57 , Verificando Licencia
20-02-2024 16:58:23 , Error: _OREPORTS es un miembro desconocido. Linea : lnCount = THIS._oReports.COUNT Error :       1925 Ultimo Alias Activo: CSRIMPCUE Ultimo registro:          1 GRUPO+ORDEN DBF: C:\USERS\MARCOS\APPDATA\LOCAL\TEMP\00000U8900K5.TMP Ul











































































































































timo Control activo:  REGFACVTA.BOTONERACUERPO.CMDIMPRIMIR.CLICK
20-02-2024 17:00:56 , Verificando Licencia
