CodigoSucursal;CodigoFuerza;CodigoModoAtencion;CodigoRuta;CodigoCliente;FechaDesde;FechaHasta
1;1;PRE;1;100;01/01/2009;31/12/8899
1;1;PRE;1;1002;01/01/2009;31/12/8899
1;1;PRE;1;1037;01/01/2009;31/12/8899
1;1;PRE;1;1058;01/01/2009;31/12/8899
1;1;PRE;1;1068;01/01/2009;31/12/8899
1;1;PRE;1;1085;01/01/2009;31/12/8899
1;1;PRE;1;1112;01/01/2009;31/12/8899
1;1;PRE;1;1183;01/01/2009;31/12/8899
1;1;PRE;1;1218;01/01/2009;31/12/8899
1;1;PRE;1;1234;01/01/2009;31/12/8899
1;1;PRE;1;1236;01/01/2009;31/12/8899
1;1;PRE;1;1270;01/01/2009;31/12/8899
1;1;PRE;1;1271;01/01/2009;31/12/8899
1;1;PRE;1;1280;01/01/2009;31/12/8899
1;1;PRE;1;1288;01/01/2009;31/12/8899
1;1;PRE;1;1289;01/01/2009;31/12/8899
1;1;PRE;1;1328;01/01/2009;31/12/8899
1;1;PRE;1;1330;01/01/2009;31/12/8899
1;1;PRE;1;1379;01/01/2009;31/12/8899
1;1;PRE;1;1405;01/01/2009;31/12/8899
1;1;PRE;1;1406;01/01/2009;31/12/8899
1;1;PRE;1;1424;01/01/2009;31/12/8899
1;1;PRE;1;1425;01/01/2009;31/12/8899
1;1;PRE;1;1426;01/01/2009;31/12/8899
1;1;PRE;1;1439;01/01/2009;31/12/8899
1;1;PRE;1;1445;01/01/2009;31/12/8899
1;1;PRE;1;1452;01/01/2009;31/12/8899
1;1;PRE;1;1453;01/01/2009;31/12/8899
1;1;PRE;1;1456;01/01/2009;31/12/8899
1;1;PRE;1;1466;01/01/2009;31/12/8899
1;1;PRE;1;1469;01/01/2009;31/12/8899
1;1;PRE;1;1471;01/01/2009;31/12/8899
1;1;PRE;1;1472;01/01/2009;31/12/8899
1;1;PRE;1;1484;01/01/2009;31/12/8899
1;1;PRE;1;1486;01/01/2009;31/12/8899
1;1;PRE;1;1487;01/01/2009;31/12/8899
1;1;PRE;1;1499;01/01/2009;31/12/8899
1;1;PRE;1;1503;01/01/2009;31/12/8899
1;1;PRE;1;1506;01/01/2009;31/12/8899
1;1;PRE;1;1507;01/01/2009;31/12/8899
1;1;PRE;1;1508;01/01/2009;31/12/8899
1;1;PRE;1;1516;01/01/2009;31/12/8899
1;1;PRE;1;1523;01/01/2009;31/12/8899
1;1;PRE;1;1524;01/01/2009;31/12/8899
1;1;PRE;1;1530;01/01/2009;31/12/8899
1;1;PRE;1;1531;01/01/2009;31/12/8899
1;1;PRE;1;1534;01/01/2009;31/12/8899
1;1;PRE;1;1538;01/01/2009;31/12/8899
1;1;PRE;1;1550;01/01/2009;31/12/8899
1;1;PRE;1;1552;01/01/2009;31/12/8899
1;1;PRE;1;1584;01/01/2009;31/12/8899
1;1;PRE;1;1590;01/01/2009;31/12/8899
1;1;PRE;1;1622;01/01/2009;31/12/8899
1;1;PRE;1;1637;01/01/2009;31/12/8899
1;1;PRE;1;1651;01/01/2009;31/12/8899
1;1;PRE;1;1655;01/01/2009;31/12/8899
1;1;PRE;1;1657;01/01/2009;31/12/8899
1;1;PRE;1;1671;01/01/2009;31/12/8899
1;1;PRE;1;1680;01/01/2009;31/12/8899
1;1;PRE;1;1682;01/01/2009;31/12/8899
1;1;PRE;1;1690;01/01/2009;31/12/8899
1;1;PRE;1;1699;01/01/2009;31/12/8899
1;1;PRE;1;1706;01/01/2009;31/12/8899
1;1;PRE;1;1721;01/01/2009;31/12/8899
1;1;PRE;1;1724;01/01/2009;31/12/8899
1;1;PRE;1;1739;01/01/2009;31/12/8899
1;1;PRE;1;1740;01/01/2009;31/12/8899
1;1;PRE;1;1756;01/01/2009;31/12/8899
1;1;PRE;1;1757;01/01/2009;31/12/8899
1;1;PRE;1;1763;01/01/2009;31/12/8899
1;1;PRE;1;1789;01/01/2009;31/12/8899
1;1;PRE;1;183;01/01/2009;31/12/8899
1;1;PRE;1;184;01/01/2009;31/12/8899
1;1;PRE;1;1885;01/01/2009;31/12/8899
1;1;PRE;1;204;01/01/2009;31/12/8899
1;1;PRE;1;567;01/01/2009;31/12/8899
1;1;PRE;1;585;01/01/2009;31/12/8899
1;1;PRE;1;628;01/01/2009;31/12/8899
1;1;PRE;1;664;01/01/2009;31/12/8899
1;1;PRE;1;709;01/01/2009;31/12/8899
1;1;PRE;1;890;01/01/2009;31/12/8899
1;1;PRE;1;895;01/01/2009;31/12/8899
1;1;PRE;1;902;01/01/2009;31/12/8899
1;1;PRE;1;927;01/01/2009;31/12/8899
1;1;PRE;1;930;01/01/2009;31/12/8899
1;1;PRE;1;943;01/01/2009;31/12/8899
1;1;PRE;1;949;01/01/2009;31/12/8899
1;1;PRE;1;959;01/01/2009;31/12/8899
1;1;PRE;2;1029;01/01/2009;31/12/8899
1;1;PRE;2;105;01/01/2009;31/12/8899
1;1;PRE;2;1125;01/01/2009;31/12/8899
1;1;PRE;2;1131;01/01/2009;31/12/8899
1;1;PRE;2;1178;01/01/2009;31/12/8899
1;1;PRE;2;1190;01/01/2009;31/12/8899
1;1;PRE;2;1194;01/01/2009;31/12/8899
1;1;PRE;2;1253;01/01/2009;31/12/8899
1;1;PRE;2;128;01/01/2009;31/12/8899
1;1;PRE;2;1326;01/01/2009;31/12/8899
1;1;PRE;2;1339;01/01/2009;31/12/8899
1;1;PRE;2;1374;01/01/2009;31/12/8899
1;1;PRE;2;1403;01/01/2009;31/12/8899
1;1;PRE;2;141;01/01/2009;31/12/8899
1;1;PRE;2;1430;01/01/2009;31/12/8899
1;1;PRE;2;1449;01/01/2009;31/12/8899
1;1;PRE;2;1451;01/01/2009;31/12/8899
1;1;PRE;2;1462;01/01/2009;31/12/8899
1;1;PRE;2;1488;01/01/2009;31/12/8899
1;1;PRE;2;1510;01/01/2009;31/12/8899
1;1;PRE;2;1593;01/01/2009;31/12/8899
1;1;PRE;2;1636;01/01/2009;31/12/8899
1;1;PRE;2;1683;01/01/2009;31/12/8899
1;1;PRE;2;1688;01/01/2009;31/12/8899
1;1;PRE;2;1693;01/01/2009;31/12/8899
1;1;PRE;2;1704;01/01/2009;31/12/8899
1;1;PRE;2;1718;01/01/2009;31/12/8899
1;1;PRE;2;1842;01/01/2009;31/12/8899
1;1;PRE;2;206;01/01/2009;31/12/8899
1;1;PRE;2;286;01/01/2009;31/12/8899
1;1;PRE;2;622;01/01/2009;31/12/8899
1;1;PRE;2;834;01/01/2009;31/12/8899
1;1;PRE;2;874;01/01/2009;31/12/8899
1;1;PRE;2;896;01/01/2009;31/12/8899
1;1;PRE;2;948;01/01/2009;31/12/8899
1;1;PRE;2;965;01/01/2009;31/12/8899
1;1;PRE;3;1078;01/01/2009;31/12/8899
1;1;PRE;3;1081;01/01/2009;31/12/8899
1;1;PRE;3;1082;01/01/2009;31/12/8899
1;1;PRE;3;1083;01/01/2009;31/12/8899
1;1;PRE;3;1117;01/01/2009;31/12/8899
1;1;PRE;3;1121;01/01/2009;31/12/8899
1;1;PRE;3;1514;01/01/2009;31/12/8899
1;1;PRE;3;1515;01/01/2009;31/12/8899
1;1;PRE;3;1536;01/01/2009;31/12/8899
1;1;PRE;3;1551;01/01/2009;31/12/8899
1;1;PRE;3;1559;01/01/2009;31/12/8899
1;1;PRE;3;1604;01/01/2009;31/12/8899
1;1;PRE;3;1605;01/01/2009;31/12/8899
1;1;PRE;3;1884;01/01/2009;31/12/8899
1;1;PRE;5;1000;01/01/2009;31/12/8899
1;1;PRE;5;1005;01/01/2009;31/12/8899
1;1;PRE;5;1006;01/01/2009;31/12/8899
1;1;PRE;5;1015;01/01/2009;31/12/8899
1;1;PRE;5;102;01/01/2009;31/12/8899
1;1;PRE;5;1021;01/01/2009;31/12/8899
1;1;PRE;5;1026;01/01/2009;31/12/8899
1;1;PRE;5;1038;01/01/2009;31/12/8899
1;1;PRE;5;1044;01/01/2009;31/12/8899
1;1;PRE;5;1045;01/01/2009;31/12/8899
1;1;PRE;5;1047;01/01/2009;31/12/8899
1;1;PRE;5;1055;01/01/2009;31/12/8899
1;1;PRE;5;1061;01/01/2009;31/12/8899
1;1;PRE;5;1062;01/01/2009;31/12/8899
1;1;PRE;5;1065;01/01/2009;31/12/8899
1;1;PRE;5;1066;01/01/2009;31/12/8899
1;1;PRE;5;1067;01/01/2009;31/12/8899
1;1;PRE;5;1072;01/01/2009;31/12/8899
1;1;PRE;5;1088;01/01/2009;31/12/8899
1;1;PRE;5;1089;01/01/2009;31/12/8899
1;1;PRE;5;1092;01/01/2009;31/12/8899
