CodigoDeposito;CodigoArticulo;VencimientoLote;CantidadDecimal;FechaStock
10;34;2022-05-31;116.00;2022-05-31
10;46;2022-05-31;0.00;2022-05-31
10;47;2022-05-31;0.00;2022-05-31
10;65;2022-05-31;0.00;2022-05-31
10;71;2022-05-31;0.00;2022-05-31
10;94;2022-05-31;0.00;2022-05-31
10;95;2022-05-31;0.00;2022-05-31
10;102;2022-05-31;0.00;2022-05-31
10;133;2022-05-31;0.00;2022-05-31
10;198;2022-05-31;0.00;2022-05-31
10;297;2022-05-31;1000.00;2022-05-31
10;298;2022-05-31;1000.00;2022-05-31
10;299;2022-05-31;1000.00;2022-05-31
10;300;2022-05-31;0.00;2022-05-31
10;301;2022-05-31;0.00;2022-05-31
10;304;2022-05-31;0.00;2022-05-31
10;309;2022-05-31;0.00;2022-05-31
10;340;2022-05-31;0.00;2022-05-31
10;358;2022-05-31;0.00;2022-05-31
10;409;2022-05-31;0.00;2022-05-31
10;499;2022-05-31;0.00;2022-05-31
10;512;2022-05-31;0.00;2022-05-31
10;526;2022-05-31;0.00;2022-05-31
10;530;2022-05-31;4.00;2022-05-31
10;531;2022-05-31;0.00;2022-05-31
10;536;2022-05-31;0.00;2022-05-31
10;538;2022-05-31;0.00;2022-05-31
10;553;2022-05-31;0.00;2022-05-31
10;561;2022-05-31;0.00;2022-05-31
10;603;2022-05-31;0.00;2022-05-31
10;610;2022-05-31;0.00;2022-05-31
10;818;2022-05-31;12.00;2022-05-31
10;828;2022-05-31;12.00;2022-05-31
10;833;2022-05-31;0.00;2022-05-31
10;932;2022-05-31;0.00;2022-05-31
10;936;2022-05-31;0.00;2022-05-31
10;937;2022-05-31;0.00;2022-05-31
10;956;2022-05-31;0.00;2022-05-31
10;958;2022-05-31;0.00;2022-05-31
10;991;2022-05-31;0.00;2022-05-31
10;993;2022-05-31;0.00;2022-05-31
10;996;2022-05-31;2.00;2022-05-31
10;1026;2022-05-31;0.00;2022-05-31
10;1039;2022-05-31;0.00;2022-05-31
10;1047;2022-05-31;0.00;2022-05-31
10;1104;2022-05-31;0.00;2022-05-31
10;1108;2022-05-31;3.00;2022-05-31
10;1109;2022-05-31;0.00;2022-05-31
10;1130;2022-05-31;0.00;2022-05-31
10;1131;2022-05-31;0.00;2022-05-31
10;1132;2022-05-31;0.00;2022-05-31
10;1134;2022-05-31;0.00;2022-05-31
10;1136;2022-05-31;0.00;2022-05-31
10;1137;2022-05-31;0.00;2022-05-31
10;1155;2022-05-31;0.00;2022-05-31
10;1156;2022-05-31;0.00;2022-05-31
10;1199;2022-05-31;0.00;2022-05-31
10;1200;2022-05-31;0.00;2022-05-31
10;1202;2022-05-31;2.00;2022-05-31
10;1203;2022-05-31;2.00;2022-05-31
10;1208;2022-05-31;0.00;2022-05-31
10;1209;2022-05-31;0.00;2022-05-31
10;1214;2022-05-31;0.00;2022-05-31
10;1217;2022-05-31;0.00;2022-05-31
10;1218;2022-05-31;0.00;2022-05-31
10;1219;2022-05-31;0.00;2022-05-31
10;1220;2022-05-31;0.00;2022-05-31
10;1221;2022-05-31;0.00;2022-05-31
10;1223;2022-05-31;3252.00;2022-05-31
10;1225;2022-05-31;0.00;2022-05-31
10;1226;2022-05-31;0.00;2022-05-31
10;1230;2022-05-31;0.00;2022-05-31
10;1231;2022-05-31;0.00;2022-05-31
10;1232;2022-05-31;0.00;2022-05-31
10;1233;2022-05-31;0.00;2022-05-31
10;1234;2022-05-31;0.00;2022-05-31
10;1241;2022-05-31;18524.00;2022-05-31
10;1242;2022-05-31;15173.00;2022-05-31
10;1243;2022-05-31;5912.00;2022-05-31
10;1244;2022-05-31;6057.00;2022-05-31
10;1245;2022-05-31;5891.00;2022-05-31
10;1246;2022-05-31;5943.00;2022-05-31
10;1247;2022-05-31;0.00;2022-05-31
10;1248;2022-05-31;0.00;2022-05-31
10;1358;2022-05-31;0.00;2022-05-31
10;1359;2022-05-31;0.00;2022-05-31
10;1361;2022-05-31;20027.00;2022-05-31
10;1362;2022-05-31;19395.00;2022-05-31
10;1369;2022-05-31;0.00;2022-05-31
10;1370;2022-05-31;0.00;2022-05-31
10;1374;2022-05-31;0.00;2022-05-31
10;1375;2022-05-31;103571.00;2022-05-31
10;1380;2022-05-31;0.00;2022-05-31
10;1381;2022-05-31;0.00;2022-05-31
10;1385;2022-05-31;0.00;2022-05-31
10;1392;2022-05-31;0.00;2022-05-31
10;1393;2022-05-31;0.00;2022-05-31
10;1394;2022-05-31;0.00;2022-05-31
10;1403;2022-05-31;0.00;2022-05-31
10;1494;2022-05-31;0.00;2022-05-31
