ID,r01,r02,r03,r04,r05,r06,r07,r08,r09,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43
0,00000000,NULL,"2018-11-16 00:00:00",61,1.00000,0.00000,0.00000,0.00000,NULL,0,0,0,"2000-01-01 00:00:00",0.00000,0.00000,0.00000,180,0.00000,0.00000,0,00000,1,-82877.40000,NULL,0.00000,0.00000,"2019-09-02 11:53:03",0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,0,NULL,Bultos,0.00000,0,120
1,00000101,"CHORIZO ESPECIAL DE CERDO","1995-03-14 00:00:00",0,1.00000,0.00000,0.00000,0.00000,,0,0,0,"2020-02-11 00:00:00",0.00000,0.00000,0.00000,110,0.00000,0.00000,99,,201,-1679.06000,"2020-01-11 00:00:00",0.00000,0.00000,"2020-01-16 15:22:15",0,0,0,4100,0,,"CHORIZO ESPECIAL DE CERDO",0.00000,0,0,1,,Bultos,0.00000,0,2
2,00000102,"CHORIZOS COLORADOS","1994-04-06 00:00:00",0,1.00000,0.00000,0.00000,0.00000,,0,0,0,"2020-02-10 00:00:00",0.00000,0.00000,0.00000,110,0.00000,0.00000,99,,201,-167.08000,"2019-10-01 00:00:00",0.00000,0.00000,"2020-01-16 15:22:16",0,0,0,4100,0,,"CHORIZOS COLORADOS",0.00000,0,0,1,,Bultos,0.00000,0,2
3,00000103,"CHORIZO ESPECIAL","1994-04-06 00:00:00",0,1.00000,0.00000,0.00000,0.00000,,0,0,0,"2020-02-11 00:00:00",0.00000,0.00000,0.00000,110,0.00000,0.00000,99,,201,-927.90000,"2019-10-11 00:00:00",0.00000,0.00000,"2020-01-16 15:22:16",0,0,0,4100,0,,"CHORIZO ESPECIAL",0.00000,0,0,1,,Bultos,0.00000,0,2
4,00000104,"CHORIZO COMUN","1994-04-06 00:00:00",0,1.00000,0.00000,0.00000,0.00000,,0,0,0,"2020-02-11 00:00:00",0.00000,0.00000,0.00000,110,0.00000,0.00000,99,,201,-6528.85000,"2020-01-11 00:00:00",0.00000,0.00000,"2019-12-18 14:16:37",0,0,0,4100,0,,"CHORIZO COMUN",0.00000,0,0,1,,Bultos,0.00000,0,2
5,00000105,"SALCHICHA CRIOLLA","1994-04-06 00:00:00",0,1.00000,0.00000,0.00000,0.00000,,0,0,0,"2020-02-11 00:00:00",0.00000,0.00000,0.00000,1,0.00000,0.00000,0,,201,-154.71000,"2019-10-11 00:00:00",0.00000,0.00000,"2019-12-18 14:16:37",0,0,0,4100,0,NULL,"SALCHICHA CRIOLLA",0.00000,NULL,NULL,1,NULL,Bultos,0.00000,0,120
6,00000106,COPETINEROS,"1994-04-06 00:00:00",0,1.00000,0.00000,0.00000,0.00000,,0,0,0,"2020-02-11 00:00:00",0.00000,0.00000,0.00000,1,0.00000,0.00000,0,,201,7.06000,"2018-07-03 00:00:00",0.00000,0.00000,"2019-12-18 14:16:37",0,0,0,4100,0,NULL,COPETINEROS,0.00000,NULL,NULL,1,NULL,Bultos,0.00000,0,120
7,00000107,"CHORIZO ESPECIAL X 15 KG","2009-03-11 00:00:00",0,1.00000,0.00000,0.00000,0.00000,,0,0,0,"2009-12-28 00:00:00",0.00000,0.00000,0.00000,1,0.00000,0.00000,0,,201,0.00000,"2013-11-13 00:00:00",0.00000,0.00000,"2019-12-18 14:07:58",0,0,0,4100,0,NULL,"CHORIZO ESPECIAL X 15 KG",0.00000,NULL,NULL,1,NULL,Bultos,0.00000,0,120
8,00000108,"MORCILLA CON NUEZ","1994-04-06 00:00:00",0,1.00000,0.00000,0.00000,0.00000,,0,0,0,"2020-02-11 00:00:00",0.00000,0.00000,0.00000,1,0.00000,0.00000,0,,201,-528.31000,"2020-02-10 00:00:00",0.00000,0.00000,"2019-12-18 14:16:37",0,0,0,4100,0,NULL,"MORCILLA CON NUEZ",0.00000,NULL,NULL,1,NULL,Bultos,0.00000,0,120
9,00000109,"MORCILLA VASCA  303","1994-04-06 00:00:00",0,1.00000,0.00000,0.00000,0.00000,,0,0,0,"2020-02-11 00:00:00",0.00000,0.00000,0.00000,1,0.00000,0.00000,0,,201,-976.27000,"2019-10-23 00:00:00",0.00000,0.00000,"2019-12-18 14:16:37",0,0,0,4100,0,NULL,"MORCILLA VASCA  303",0.00000,NULL,NULL,1,NULL,Bultos,0.00000,0,120
10,00000110,"HUESOS VACUNOS","1997-07-17 00:00:00",0,1.00000,0.00000,0.00000,0.00000,,0,0,0,"2018-02-24 00:00:00",0.00000,0.00000,0.00000,1,0.00000,0.00000,0,,201,0.00000,"2013-11-13 00:00:00",0.00000,0.00000,"2019-12-09 15:08:19",0,0,0,4400,0,NULL,"HUESOS VACUNOS",0.00000,NULL,NULL,1,NULL,Bultos,0.00000,0,120
11,00000111,"CUEROS VACUNOS","2009-03-11 00:00:00",0,1.00000,0.00000,0.00000,0.00000,,0,0,0,"2019-05-22 00:00:00",0.00000,0.00000,0.00000,1,0.00000,0.00000,0,,208,-4.80000,"2017-11-27 00:00:00",0.00000,0.00000,"2019-12-18 14:10:18",0,0,0,4800,0,NULL,"CUEROS VACUNOS",0.00000,NULL,NULL,1,NULL,Bultos,0.00000,0,120
12,00000112,"MORCILLA C/NUEZ Y ACEITUNAS","2005-01-13 00:00:00",0,1.00000,0.00000,0.00000,0.00000,,0,0,0,"2020-02-07 00:00:00",0.00000,0.00000,0.00000,1,0.00000,0.00000,0,,201,-75.40000,"2019-10-01 00:00:00",0.00000,0.00000,"2019-12-18 14:16:37",0,0,0,4100,0,NULL,"MORCILLA C/NUEZ Y ACEITUNAS",0.00000,NULL,NULL,1,NULL,Bultos,0.00000,0,120
13,00000113,"MORCILLA BLANCA","2013-07-24 00:00:00",0,1.00000,0.00000,0.00000,0.00000,,0,0,0,"2019-04-03 00:00:00",0.00000,0.00000,0.00000,1,0.00000,0.00000,0,,201,-5.90000,"2018-09-11 00:00:00",0.00000,0.00000,"2019-12-18 14:16:37",0,0,0,4100,0,NULL,"MORCILLA BLANCA",0.00000,NULL,NULL,1,NULL,Bultos,0.00000,0,120
14,00000117,"CHORIZO PARMESANO","2000-01-13 00:00:00",0,1.00000,0.00000,0.00000,0.00000,,0,0,0,"2020-02-11 00:00:00",0.00000,0.00000,0.00000,1,0.00000,0.00000,0,,201,-258.75000,"2020-02-08 00:00:00",0.00000,0.00000,"2020-01-16 15:22:16",0,0,0,4100,0,NULL,"CHORIZO PARMESANO",0.00000,NULL,NULL,1,NULL,Bultos,0.00000,0,120
15,00000118,"CHORIZO ESPECIAL 303","2004-09-14 00:00:00",0,1.00000,0.00000,0.00000,0.00000,,0,0,0,"2020-02-11 00:00:00",0.00000,0.00000,0.00000,1,0.00000,0.00000,0,,201,-1547.55000,"2019-10-23 00:00:00",0.00000,0.00000,"2020-01-16 15:22:16",0,0,0,4100,0,NULL,"CHORIZO ESPECIAL 303",0.00000,NULL,NULL,1,NULL,Bultos,0.00000,0,120
