0;3;BERTIN Y C.I.A. S.C.A.;BELGRANO S/N;;;;111;Felipe Sola.;Buenos Aires;02924-494231/2;1;Resp. Inscripto;203-0504969;33518168709;A;2;0;Sin Especificar;;;0;0;2;;0
;4;BONOTTO J.-SERVICENTRO-;UNDIANO Y TTE. FARIAS;;;;1;Bahia Blanca;Buenos Aires;4535677;1;Resp. Inscripto;007-046672;23103464269;A;1;0;Sin Especificar;;;0;;2;;
;5;ALFONSO CHIACCHIERA S.R.L.;CATAMARCA;1149;;;72;Santa Fe;Santa Fe;0341-4961083/ 4961-559;1;Resp. Inscripto;091-0209520;30503673629;A;1;0;Sin Especificar;;;1;78;2;0;
;6;CONTE-GRAND Y C.I.A. S.A.;DON BOSCO;3389;;;1;Bahia Blanca;Buenos Aires;4885551;1;Resp. Inscripto;902-8655631;30528395976;A;4;0;Sin Especificar;;154120184 ofi;1;78;2;5;
;7;COOP. RURAL LTDA. DE TORNQUIST;ESPANA;144;;;1;Bahia Blanca;Buenos Aires;914016/17/48;1;Resp. Inscripto;106-00066242;30534206824;A;28;0;Sin Especificar;;;0;;2;;
;8;COOP.AGR. DE BAJO HONDO LTDA.;ARMADA ARG. Y S. ISIDRO S;;;;1;Bahia Blanca;Buenos Aires;02932-491118;1;Resp. Inscripto;113-21650;30530678632;A;6;0;Sin Especificar;;;0;;2;;
;9;ELECTRA-ALICIA B. ANIZAN;CHARLONE;1144;;;1;Bahia Blanca;Buenos Aires;40179/45985;1;Resp. Inscripto;902-8849288;27126057283;A;1;0;Sin Especificar;;;0;0;2;;
;10;ENVARIL S.A.I.C.I.F.;AV. CORRIENTES;1386;;;1;Bahia Blanca;Buenos Aires;400165/F406099;1;Resp. Inscripto;901-9109232;30521203230;A;1;0;Sin Especificar;;;0;;2;;
;11;CARIPA-CARNES-DE C.D. IPARRAGUIRRE;SIXTO LASPIUR;1499;;;1;Bahia Blanca;Buenos Aires;511228;1;Resp. Inscripto;902-8884691;20049871229;A;1;0;Sin Especificar;;;0;0;2;;
;12;FARMESA S.A.I.C.;ACCESO OESTE KM;47.5;;;104;Gral. Rodriguez.;Buenos Aires;011-4581-1610/ 011-4583-9912;1;Resp. Inscripto;901-9102601;30504278154;A;21;0;Sin Especificar;;0223 156821621 (RAUL) pedidos;1;78;2;0;
;13;GRACE ARGENTINA S.A.;PRIMERA JUNTA;550;;;1;Bahia Blanca;Buenos Aires;01-229-0100;1;Resp. Inscripto;902-8685353;30501047690;A;2;0;Sin Especificar;;;0;;2;;
;14;GIL Y FRANZINO S.A.;RUTA;22;-KM;;1;Bahia Blanca;Buenos Aires;0927-2163;1;Resp. Inscripto;007-016951;30579226273;A;1;0;Sin Especificar;;;0;;2;;
;15;MALLO Y C.I.A. S.C.C.;9 DE JULIO;428;;;1;Bahia Blanca;Buenos Aires;23941;1;Resp. Inscripto;902-8857058;30582067402;A;0;0;Sin Especificar;;;0;;2;;
;16;TRANS.-DON JUAN-DE M. Y VISSANI;GURRUCHAGA Y;12;DE;;1;Bahia Blanca;Buenos Aires;6034-6017;1;Resp. Inscripto;902-8853911;33556530519;A;0;0;Sin Especificar;;;0;;2;;
;17;PAPELERA RAUL J. CORA S.A.;LARRAZABAL;1224;;;175;BUENOS AIRES;Buenos Aires;011-46821456;1;Resp. Inscripto;901-9545372;30588917157;A;1;0;Sin Especificar;;;1;78;2;0;
;18;PRODUCTORES RURALES DEL SUD COOP.LTDA;ZELARRAYAN;365;;;1;Bahia Blanca;Buenos Aires;4530011/12/13;1;Resp. Inscripto;007-0123807;30511567455;A;1;0;Sin Especificar;;;0;0;2;;
