11-02-2020 19:51:52 , Acceso al sistema, antes de autenticar
11-02-2020 19:53:49 , Acceso al sistema, antes de autenticar
14-02-2020 20:42:51 , Acceso al sistema, antes de autenticar
14-02-2020 20:43:24 , Acceso al sistema, antes de autenticar
14-02-2020 21:03:10 , Acceso al sistema, antes de autenticar
17-02-2020 12:25:37 , Acceso al sistema, antes de autenticar
17-02-2020 13:00:08 , Error: El archivo no existe. Linea : APPEND FROM  &cArchivo SDF Error :          1 Ultimo Alias Activo: CSRLISTA Ultimo registro:          1  DBF: C:\USERS\ADMIN\APPDATA\LOCAL\TEMP\0000BG2101XL.TMP Ultimo Control activo:  Z02CTACTETXT_GRAL
17-02-2020 16:37:33 , Acceso al sistema, antes de autenticar
17-02-2020 16:40:14 , Acceso al sistema, antes de autenticar
17-02-2020 16:41:41 , Acceso al sistema, antes de autenticar
17-02-2020 17:06:31 , Acceso al sistema, antes de autenticar
