Id,r01,r02,r03,r04,r05,r06,r07,r08,r09,r10
13,5,1,99999,300.91950,29991.95000,2,"2019-12-18 00:00:00",0,3,7114.00000
14,5,2,99999,317.62500,31662.50000,2,"2019-12-18 00:00:00",0,3,960.00000
15,5,3,99999,299.99550,29899.55000,2,"2019-12-18 00:00:00",0,3,780.00000
16,6,1,99999,300.91950,29991.95000,2,"2019-12-18 00:00:00",0,3,7372.00000
17,6,2,99999,317.62500,31662.50000,2,"2019-12-18 00:00:00",0,3,960.00000
18,6,3,99999,299.99550,29899.55000,2,"2019-12-18 00:00:00",0,3,780.00000
19,7,1,99999,0.00000,0.00000,4,"2015-09-08 00:00:00",0,3,0.00000
20,7,2,99999,265.03050,26403.05000,4,"2019-12-18 00:00:00",0,3,0.00000
21,7,3,99999,0.00000,0.00000,4,"2015-09-08 00:00:00",0,3,0.00000
22,8,1,99999,237.00600,23600.60000,2,"2019-12-18 00:00:00",0,3,5002.00000
23,8,2,99999,255.84300,25484.30000,2,"2019-12-18 00:00:00",0,3,590.00000
24,8,3,99999,229.40400,22840.40000,2,"2019-12-18 00:00:00",0,3,550.00000
25,9,1,99999,199.65750,19865.75000,2,"2019-12-18 00:00:00",0,3,3679.00000
26,9,2,99999,255.84300,25484.30000,2,"2019-12-18 00:00:00",0,3,500.00000
27,9,3,99999,174.69900,17369.90000,2,"2019-12-18 00:00:00",0,3,395.00000
28,10,1,99999,0.00000,999.99999,4,"2014-03-27 00:00:00",0,3,999.99999
29,10,2,99999,0.00000,999.99999,4,"2014-03-27 00:00:00",0,3,999.99999
30,10,3,99999,0.00000,999.99999,4,"2014-03-27 00:00:00",0,3,999.99999
31,11,1,99999,0.00000,0.00000,4,"2014-03-27 00:00:00",0,3,0.00000
32,11,2,99999,0.00000,0.00000,4,"2014-03-27 00:00:00",0,3,0.00000
33,11,3,99999,0.00000,0.00000,4,"2014-03-27 00:00:00",0,3,0.00000
34,12,1,99999,237.00600,23600.60000,2,"2019-12-18 00:00:00",0,3,5002.00000
35,12,2,99999,255.84300,25484.30000,2,"2019-12-18 00:00:00",0,3,590.00000
36,12,3,99999,229.40400,22840.40000,2,"2019-12-18 00:00:00",0,3,550.00000
37,13,1,99999,237.00600,23600.60000,4,"2019-12-18 00:00:00",0,3,4696.00000
38,13,2,99999,255.84300,25484.30000,4,"2019-12-18 00:00:00",0,3,0.00000
39,13,3,99999,229.40400,22840.40000,4,"2019-12-18 00:00:00",0,3,0.00000
40,14,1,99999,353.89200,35289.20000,2,"2019-12-18 00:00:00",0,3,7339.00000
41,14,2,99999,399.28350,39828.35000,2,"2019-12-18 00:00:00",0,3,999.99999
42,14,3,99999,349.39800,34839.80000,2,"2019-12-18 00:00:00",0,3,900.00000
43,15,1,99999,234.09750,23309.75000,2,"2019-12-18 00:00:00",0,3,4682.00000
44,15,2,99999,238.64400,23764.40000,2,"2019-12-18 00:00:00",0,3,590.00000
45,15,3,99999,211.72200,21072.20000,2,"2019-12-18 00:00:00",0,3,500.00000
46,16,1,99999,237.00600,23600.60000,2,"2019-12-18 00:00:00",0,3,5002.00000
47,16,2,99999,255.84300,25484.30000,2,"2019-12-18 00:00:00",0,3,590.00000
48,16,3,99999,229.40400,22840.40000,2,"2019-12-18 00:00:00",0,3,550.00000
