Id,r00,r01,r02,r03,r04,r05,r06,r07,r08,r09,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26
0,0,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL
4,1,7488009,"2014-06-02 00:00:00","2014-06-04 10:47:34","2014-06-02 00:00:00",1,6151,5691.35000,2,B,1,0,"2014-06-02 00:00:00","DISTRIBUIDORA EFG",6,33,,0,1,0.00000,0.00000,0,0,NULL,NULL,NULL,"Factura  A B    0001-07488009 De  DISTRIBUIDORA EFG"
5,1,9951,"2014-05-30 00:00:00","2014-06-04 10:48:21","2014-05-30 00:00:00",3,6152,1593.27000,2,B,1,0,"2014-05-30 00:00:00","KLEJA DISTRIBUCIONES",1,26,,0,1,0.00000,0.00000,0,0,NULL,NULL,NULL,"Factura  A B    0001-00009951 De  KLEJA DISTRIBUCIONES"
6,1,7488010,"2014-06-03 00:00:00","2014-06-05 12:45:17","2014-06-03 00:00:00",1,6416,655.27000,2,B,1,0,"2014-06-03 00:00:00","DISTRIBUIDORA EFG",6,33,,0,1,0.00000,0.00000,0,0,NULL,NULL,NULL,"Factura  A B    0001-07488010 De  DISTRIBUIDORA EFG"
7,1,9955,"2014-06-03 00:00:00","2014-06-05 12:45:50","2014-06-03 00:00:00",3,6417,5400.59000,2,B,1,0,"2014-06-03 00:00:00","KLEJA DISTRIBUCIONES",1,26,,0,1,0.00000,0.00000,0,0,NULL,NULL,NULL,"Factura  A B    0001-00009955 De  KLEJA DISTRIBUCIONES"
8,1,9957,"2014-06-03 00:00:00","2014-06-05 12:47:49","2014-06-03 00:00:00",3,6418,2073.91000,2,B,1,0,"2014-06-03 00:00:00","KLEJA DISTRIBUCIONES",1,26,,0,1,0.00000,0.00000,0,0,NULL,NULL,NULL,"Factura  A B    0001-00009957 De  KLEJA DISTRIBUCIONES"
9,1,9956,"2014-06-03 00:00:00","2014-06-05 12:48:15","2014-06-03 00:00:00",3,6419,2483.13000,2,B,1,0,"2014-06-03 00:00:00","KLEJA DISTRIBUCIONES",1,26,,0,1,0.00000,0.00000,0,0,NULL,NULL,NULL,"Factura  A B    0001-00009956 De  KLEJA DISTRIBUCIONES"
10,1,9954,"2014-06-03 00:00:00","2014-06-05 12:48:41","2014-06-03 00:00:00",3,6420,3804.27000,2,B,1,0,"2014-06-03 00:00:00","KLEJA DISTRIBUCIONES",1,26,,0,1,0.00000,0.00000,0,0,NULL,NULL,NULL,"Factura  A B    0001-00009954 De  KLEJA DISTRIBUCIONES"
11,1,7488011,"2014-06-04 00:00:00","2014-06-06 08:59:04","2014-06-04 00:00:00",1,6559,660.10000,2,B,1,0,"2014-06-04 00:00:00","DISTRIBUIDORA EFG",6,33,,0,1,0.00000,0.00000,0,0,NULL,NULL,NULL,"Factura  A B    0001-07488011 De  DISTRIBUIDORA EFG"
12,1,7488012,"2014-06-09 00:00:00","2014-06-11 12:39:25","2014-06-09 00:00:00",1,7269,3363.29000,2,B,1,0,"2014-06-09 00:00:00","DISTRIBUIDORA EFG",6,33,,0,1,0.00000,0.00000,0,0,NULL,NULL,NULL,"Factura  A B    0001-07488012 De  DISTRIBUIDORA EFG"
13,1,7488014,"2014-06-12 00:00:00","2014-06-24 08:31:45","2014-06-12 00:00:00",1,7622,705.18000,2,B,1,,"2014-06-12 00:00:00","DISTRIBUIDORA EFG",6,33,,0,1,0.00000,0.00000,0,0,NULL,NULL,NULL,"Factura  A B    0001-07488014 De  DISTRIBUIDORA EFG"
14,1,9997,"2014-06-11 00:00:00","2014-06-12 16:25:24","2014-06-11 00:00:00",3,7623,3831.10000,2,B,1,0,"2014-06-11 00:00:00","KLEJA DISTRIBUCIONES",1,26,,0,1,0.00000,0.00000,0,0,NULL,NULL,NULL,"Factura  A B    0001-00009997 De  KLEJA DISTRIBUCIONES"
15,1,9998,"2014-06-11 00:00:00","2014-06-12 16:27:27","2014-06-11 00:00:00",3,7624,64.57000,2,B,1,0,"2014-06-11 00:00:00","KLEJA DISTRIBUCIONES",1,26,,0,1,0.00000,0.00000,0,0,NULL,NULL,NULL,"Factura  A B    0001-00009998 De  KLEJA DISTRIBUCIONES"
16,1,10000,"2014-06-11 00:00:00","2014-06-12 16:28:03","2014-06-11 00:00:00",3,7625,4733.30000,2,B,1,0,"2014-06-11 00:00:00","KLEJA DISTRIBUCIONES",1,26,,0,1,0.00000,0.00000,0,0,NULL,NULL,NULL,"Factura  A B    0001-00010000 De  KLEJA DISTRIBUCIONES"
17,1,10006,"2014-06-11 00:00:00","2014-06-14 10:20:38","2014-06-11 00:00:00",3,7897,3367.44000,2,B,1,0,"2014-06-11 00:00:00","KLEJA DISTRIBUCIONES",1,26,,0,1,0.00000,0.00000,0,0,NULL,NULL,NULL,"Factura  A B    0001-00010006 De  KLEJA DISTRIBUCIONES"
18,1,7327125,"2014-06-16 00:00:00","2014-06-16 14:45:39","2014-06-16 00:00:00",1,8122,1381.38000,2,B,1,0,"2014-06-16 00:00:00","DISTRIBUIDORA EFG",6,33,,0,1,0.00000,0.00000,0,0,NULL,NULL,NULL,"Factura  A B    0001-07327125 De  DISTRIBUIDORA EFG"
19,1,10009,"2014-06-12 00:00:00","2014-06-16 14:45:56","2014-06-12 00:00:00",3,8123,5028.95000,2,B,1,0,"2014-06-12 00:00:00","KLEJA DISTRIBUCIONES",1,26,,0,1,0.00000,0.00000,0,0,NULL,NULL,NULL,"Factura  A B    0001-00010009 De  KLEJA DISTRIBUCIONES"
20,1,10020,"2014-06-17 00:00:00","2014-06-18 15:33:47","2014-06-17 00:00:00",3,8518,2719.05000,2,B,1,0,"2014-06-17 00:00:00","KLEJA REPRESENTACIONES",1,26,,0,1,0.00000,0.00000,0,0,NULL,NULL,NULL,"Factura  A B    0001-00010020 De  KLEJA REPRESENTACIONES"
21,1,10018,"2014-06-17 00:00:00","2014-06-19 09:51:40","2014-06-17 00:00:00",3,8679,6347.43000,2,B,1,0,"2014-06-17 00:00:00","KLEJA REPRESENTACIONES",1,26,,0,1,0.00000,0.00000,0,0,NULL,NULL,NULL,"Factura  A B    0001-00010018 De  KLEJA REPRESENTACIONES"
22,1,10017,"2014-06-17 00:00:00","2014-06-19 09:52:10","2014-06-17 00:00:00",3,8681,1877.60000,2,B,1,0,"2014-06-17 00:00:00","KLEJA REPRESENTACIONES",1,26,,0,1,0.00000,0.00000,0,0,NULL,NULL,NULL,"Factura  A B    0001-00010017 De  KLEJA REPRESENTACIONES"
23,1,7327126,"2014-06-19 00:00:00","2014-06-19 14:57:47","2014-06-19 00:00:00",1,8761,2545.41000,2,B,1,0,"2014-06-19 00:00:00","DISTRIBUIDORA EFG",6,33,,0,1,0.00000,0.00000,0,0,NULL,NULL,NULL,"Factura  A B    0001-07327126 De  DISTRIBUIDORA EFG"
24,1,10016,"2014-06-17 00:00:00","2014-06-20 15:18:41","2014-06-17 00:00:00",3,8975,5573.21000,2,B,1,0,"2014-06-17 00:00:00","KLEJA REPRESENTACIONES",1,26,,0,1,0.00000,0.00000,0,0,NULL,NULL,NULL,"Factura  A B    0001-00010016 De  KLEJA REPRESENTACIONES"
25,1,1,"2014-06-06 00:00:00","2014-06-24 08:26:40","2014-06-24 00:00:00",4,9303,41835.50000,2,A,1,0,"2014-07-11 00:00:00","arana juan carlos",1,26,,0,1,0.00000,0.00000,0,0,NULL,NULL,NULL,"Factura  A A    0001-00000001 De  arana juan carlos"
26,1,2,"2014-05-30 00:00:00","2014-06-24 08:28:55","2014-06-06 00:00:00",5,9304,13660.50000,2,A,1,,"2014-07-04 00:00:00","BAIER OMAR",1,26,,0,1,0.00000,0.00000,0,0,NULL,NULL,NULL,"Factura  A A    0001-00000002 De  BAIER OMAR"
27,1,3,"2014-05-26 00:00:00","2014-06-24 08:32:20","2014-06-24 00:00:00",6,9305,35436.74000,2,A,1,,"2014-06-30 00:00:00","ETCHELECU GRACIELA",1,26,,0,1,0.00000,0.00000,0,0,NULL,NULL,NULL,"Factura  A A    0001-00000003 De  ETCHELECU GRACIELA"
28,1,4,"2014-06-05 00:00:00","2014-06-24 08:34:13","2014-06-24 00:00:00",7,9309,13667.50000,2,A,1,0,"2014-07-10 00:00:00","HOLZMAN EBER",1,26,,0,1,0.00000,0.00000,0,0,NULL,NULL,NULL,"Factura  A A    0001-00000004 De  HOLZMAN EBER"
