;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;SKU;#;DENOMINACION;UN;RUBRO;(!);OBS;ACTIVO;CODIGO SAP;
;1;A;ABRAZADERA  METALICA 10-16;UN;CONSUMIBLE;;;;;
;2;A;ABRAZADERA DE ALTA PRESION 3/4;UN;CONSUMIBLE;;;;;
;3;A;"ABRAZADERA METALICA 2""";UN;CONSUMIBLE;;;;;
;4;A;ABRAZADERA METALICA 32-50;UN;CONSUMIBLE;;;;;
;5;A;ABRAZADERA METALICA 40-60;UN;CONSUMIBLE;;;;;
;6;A;ABRAZADERA METALICA 8-22;UN;CONSUMIBLE;;;;;
;7;A;ABROCHADORA PAPEL;UN;LIBRERÍA;;;;;
;8;A;ACEITE 10W30;LT;LUBRICANTE;;;;;
;9;A;ACEITE 15W40;LT;LUBRICANTE;;;;;
;10;A;ACEITE DE COCINA 900 ML;UN;COMESTIBLES;;;;;
;11;A;ACEITE HIDRAULICO 10W;LT;LUBRICANTE;;;;;
;12;A;ACEITE HIDRAULICO AZOLLA;LT;LUBRICANTE;;;;;
;13;A;"ACOPLE CLAMP SERIE L AL 3"" TAPA";UN;ACCESORIOS;;;;;
;14;A;"ACOPLE CLAMP SERIE L AL 3"" TAPON";UN;ACCESORIOS;;;;;
;15;A;"ACOPLE CLAMP SERIE L PPN 3"" TAPA";UN;ACCESORIOS;;;;;
;16;A;"ACOPLE CLAMP SERIE L PPN 3"" TAPON";UN;ACCESORIOS;;;;;
;17;A;"ACOPLE MEDIO GIRO 1 1/4""";UN;MAQ&HERR;;;;;
;18;A;"ACOPLE MEDIO GIRO 3/4""";UN;MAQ&HERR;;;;;
;19;A;"ACOPLE RAPIDO CON ESPIGA 1/4""";UN;CONSUMIBLE;;;;;
;20;A;AD-BLUE UREA 32;LT;CONSUMIBLE;;;;;
;21;A;ADHESIVO SELLADOR 300 ML FASTIX;UN;CONSUMIBLE;;;;;
;22;A;AEROSOL INFLADOR SELLADOR DE NEUMATICOS ;UN;CONSUMIBLE;;;;;
;23;A;AGROPOL 200 MICRONES 4X50 MT;MT;CONSUMIBLE;;;;;
;24;A;AGUA DE MESA X BIDON 20 LT;UN;CONSUMIBLE;;;;;
;25;A;AGUA DESTILADA;LT;CONSUMIBLE;;;;;
;26;A;AGUA OXIGENADA 10 VOL ESTABILIZADA;CM3;BOTIQUIN;;;;;
;27;A;ALCOHOL EN GEL x 250 ml;UN;CONSUMIBLE;;;;;
;28;A;ALCOHOL EN GEL x 5 lt;UN;CONSUMIBLE;;;;;
;29;A;ALCOHOL ETÍLICO 96% x 250 ml;UN;CONSUMIBLE;;;;;
;30;A;ALCOHOL ETÍLICO 96% x 500 ml;UN;CONSUMIBLE;;;;;
;31;A;ALCOHOL ETÍLICO 96% X LITRO;LT;CONSUMIBLE;;;;;
;32;A;"AMOLADORA ANGULAR 4"" (115 MM) BOSCH GWS 9-125 HEAVY DUTTY - CON H.M.";UN;MAQ&HERR;X;precio/recambio;;;
;33;A;"AMOLADORA ANGULAR 4"" (115 MM) DEWALT MODELO???";UN;MAQ&HERR;X;precio/recambio;;;
;34;A;"AMOLADORA ANGULAR 7"" (180 MM) BOSCH MODELO???";UN;MAQ&HERR;X;precio/recambio;;;
;35;A;"AMOLADORA ANGULAR 7"" (180 MM) DEWALT MODELO???";UN;MAQ&HERR;X;precio/recambio;;;
;36;A;ANAFE 4 HORNALLAS ELECTRICO;UN;MAQ&HERR;;;;;
;37;A;ANOTADOR STICK NOTES 5 00 X 4 00 CM;UN;LIBRERÍA;;;;;
;38;A;ANOTADOR STICK NOTES 7 50 X 7 50 CM;UN;LIBRERÍA;;;;;
;39;A;ANTEOJO CLARO LIBUS ARGON ELITE ANTIEMPAÑO;UN;EPP;;;;;
;40;A;ANTEOJO OSCURO LIBUS ARGON ELITE ANTIEMPAÑO;UN;EPP;;;;;
;41;A;ANTI LÁTIGO 65 CM ACERO;UN;MAQ&HERR;;;;;
;42;A;APOSITO QUIRURGICO ESTERIL 10CM X 20CM;UN;BOTIQUIN;;;;;
;43;A;APOSITO TIPO CURITA X 10 UN;UN;BOTIQUIN;;;;;
;44;A;ARCO DE SIERRA PARA METALES;UN;MAQ&HERR;;;;;
;45;A;ARENA RUBIA 25M BOLSON X 2000 KG;UN;CONSUMIBLE;;;;;
;46;A;ARNES 3 ARGOLLAS;UN;EPP;;;;;
;47;A;ARNES P/CASCO NEG MSA FAS-TRACIII 312027;UN;EPP;;;;;
;48;A;ARNES P/PANTALLA FACIAL H24M 3M 57408;UN;EPP;;;;;
;49;A;ARNES PARA PROTECTOR FACIAL TIPO BURBUJA;UN;EPP;;;;;
;50;A;"ARRESTALLAMA 4""";UN;MAQ&HERR;;;;;
;51;A;"ARRESTALLAMA 5""";UN;MAQ&HERR;;;;;
;52;A;AZUCAR X 1 KG;UN;COMESTIBLES;;;;;
;53;B;BALDE PVC PARA MEZCLA CONCRETO;UN;CONSUMIBLE;;;;;
;54;B;BALIZA 12/24 PARA ACOPLADO;UN;MAQ&HERR;;;;;
;55;B;BANDEJA DE CONTENCIÓN CON MANIJAS 1.00 mt x 0.70 mt x 0.10 mt ;UN;MAQ&HERR;;;;;
;56;B;BANDEJA P/PINTOR;UN;MAQ&HERR;;;;;
;57;B;BANDERA CORPORATIVA;UN;MAQ&HERR;;;;;
;58;B;BANDERA CORPORATIVA ARGENTINA;UN;MAQ&HERR;;;;;
;59;B;BANDERIN;UN;MAQ&HERR;;;;;
;60;B;BAÑO OCULAR 80 ML;UN;CONSUMIBLE;;;;;
;61;B;BARBIJO CON FILTRO PARA POLVO;UN;EPP;;;;;
;62;B;"BARRA EXTENSIÓN PARA TUBO 3/4"" X 200 MM";UN;MAQ&HERR;;;;;
;63;B;"BARRA HIERRO ANGULO DE 1"" X 1/8""";MT;MATERIAL;;;;;
;64;B;BATERÍA 12 VOLT 18 AMP;UN;MAQ&HERR;;;;;
;65;B;BATERIA 9V ENERGIZER NO RECARGABLE;UN;CONSUMIBLE;;;;;
;66;B;BATERÍA DEA MARCA PHILLIPS REF M5070A;UN;MAQ&HERR;;;;;
;67;B;BIBLIORATO A4;UN;LIBRERÍA;;;;;
;68;B;BIDON ANTIEXPLOSIVO METALICO DE 5 GALONES;UN;MAQ&HERR;;;;;
;69;B;BIDON P/COMBUSTIBLE HOMOLOGADO 5 GALONES PVC;UN;MAQ&HERR;;;;;
;70;B;BLOCK ANOTADOR A5 ESPIRALADO;UN;LIBRERÍA;;;;;
;71;B;BOBINA DE PAPEL INDUSTRIAL ROLLO 24 CM X 400 MT;UN;LIMPIEZA;;;;;
;72;B;BOL PARA  ENSALADAS;UN;COCINA;;;;;
;73;B;BOLIGOMA;UN;LIBRERÍA;;;;;
;74;B;BOLSA DE RESIDUO AMARILLA 200 MC DE 1 00 X 1 20 MT;UN;CONSUMIBLE;;;;;
;75;B;BOLSA DE RESIDUO AZUL 200 MC DE 1 00 X 1 20 MT;UN;CONSUMIBLE;;;;;
;76;B;BOLSA DE RESIDUO BLANCA 200 MC DE 1 00 X 1 20 MT;UN;CONSUMIBLE;;;;;
;77;B;BOLSA DE RESIDUO CONSORCIO 60x90;UN;LIMPIEZA;;;;;
;78;B;BOLSA DE RESIDUO PCV NEGRO 80X110;UN;LIMPIEZA;;;;;
;79;B;BOLSA DE RESIDUO ROJA 200 MC DE 1 00 X 1 20 MT;UN;CONSUMIBLE;;;;;
;80;B;BOLSA DE RESIDUOS DOMICILIARIOS 45 X  60;UN;LIMPIEZA;;;;;
;81;B;BOLSO PORTA HERRAMIENTAS 30 cm x 18 cm x 20 cm;UN;MAQ&HERR;;;;;
;82;B;BOMBA CENTRIFUGA 1/2 HP;UN;MAQ&HERR;;;;;
;83;B;BOMBA DE AGUA 12 VOLT;UN;REPUESTO;;;;;
;84;B;BOQUILLA PARA ARENADORA BLASTING ROSCA MACHO BRONCE C/ORIFICIO DE 12 MM;UN;MAQ&HERR;;;;;
;85;B;BORRADOR PARA PIZARRA DE FIBRA;UN;LIBRERÍA;;;;;
;86;B;BOTA DE GOMA CON PUNTA DE ACERO/ALUMINIO TALLE 41;UN;EPP;;;;;
;87;B;BOTA DE GOMA CON PUNTA DE ACERO/ALUMINIO TALLE 42;PAR;EPP;;;;;
;88;B;BOTA DE GOMA CON PUNTA DE ACERO/ALUMINIO TALLE 43;UN;EPP;;;;;
;89;B;BOTA DE GOMA CON PUNTA DE ACERO/ALUMINIO TALLE 44;PAR;EPP;;;;;
;90;B;BOTIQUIN VEHICULAR REGLAMENTARIO;UN;EPP;;;;;
