CodigoArticulo;DescripcionArticulo;Anulado;UnidadesXBulto;ValorUMedida;Pesable
88;LECHE CARTON ENT. X1L. L.S.;NO;12;0;SI
9;CREMA LS PAST REX 500CM3;NO;20;0;SI
15;CREMA DE LECHE LS SACHET X5L.;NO;2;0;SI
36;DCE L.S REPOSTERO X 500G;NO;12;0;SI
42;DCE L.S COLONIAL X 250G;NO;12;0;SI
43;DCE L.S COLONIAL X 500G;SI;12;0;SI
6254;DCE LS DE LECHE COLONIAL FCALC. P X1KG;NO;8;0;SI
63;LECHE E/POLVO L.S.ENTERA X500;NO;10;0;SI
64;LECHE EN POLVO LS DESLAC X500GS;NO;10;0;SI
66;LECHE E/POLVO L.S.DESCRE.X400;NO;10;0;SI
68;LECHE EN POLVO LS ENT/BOL X25KG;NO;1;0;SI
52;MANTECA LS X100GS;NO;20;0;SI
54;MANTECA LS X200GS;NO;10;0;SI
58;MANTECA LS BUTTER  X10GS(64 UNID);NO;6;0;SI
270;MANTECA L.S. X500 GRS.;NO;10;0;SI
173;MAYONESA G.IRIS POUCHE X500C.C;NO;24;0;SI
174;MAYONESA G.IRIS SACHET X125C.C;NO;12;0;SI
260;SALCHICHA GJA IRIS X6UNID;NO;20;0;SI
261;SALCHICHA GJA IRIS X10UNID;NO;12;0;SI
22;FLAN SERENITO X 110 GRS.;SI;20;0;SI
95;POSTRE SERENITO X 130 GRS.;NO;20;0;SI
192;PACK CINDOR X 200+ 2 LTS.YOGUR;NO;12;0;SI
16;YOGURISIMO FIRME X 190GRS.;NO;20;0;SI
20;YOGURISIMO NATURAL PACK 240 GS;NO;24;0;SI
133;SER YOGUR CON CEREAL POTE 174G;NO;20;0;SI
6130;YOGURISIMO C/CEREALES X 166GRS;NO;20;0;SI
241;YOGURISIMO CREMOSO BOTE X 750G;NO;12;0;SI
92;DANONINO A/LAC PACK X 90G;NO;48;0;SI
71;CASANCREM LIGHT X330GS;NO;12;0;SI
75;QUESO GARCIA X250GS.;SI;12;0;SI
76;KIT DE BANDAS LOCAS PARA COLEC;NO;5;0;SI
147;QUESO CASANCREM DIET P.X 200GS;NO;12;0;SI
148;KIT SERENITO (AGENDA);SI;0;0;SI
166;VIDACOL PACK 4 X 320 CM3;NO;12;0;SI
167;QUESO BLANCO SER P. X 400GRS.;NO;12;0;SI
102;SER C/COLCHON DE FRUTAS X 190G;NO;20;0;SI
84;LECHE EN POLVO DES.X400GS.SER;NO;10;0;SI
9104;SER FIRME  F  POTE 195GRS.;NO;20;0;SI
35;MOZZARELLA IND. P.X4KG.CASANTO;SI;4;0;NO
85;LECHE ENT.L/DUR.LS C/H.CART.X1;NO;12;0;SI
9010;YOGURISIMO C/BOLSAS DE CHOC 162GS;NO;20;0;SI
110;CREMA L.S. PAST. POTE X 250CMC;NO;24;0;SI
405;L.S. LECHE UEC/H SQ X 1 L.;NO;16;0;SI
60;MANTECA FORTUNA PAQ. X 200 G.;SI;10;0;SI
61;MANTECA FORTUNA PAQ. X 500 G.;SI;10;0;SI
452;LS LEC. UPER-ENTERA SQ 1 L.;SI;16;0;SI
152;QUESO FUNDIDO CTO/FIAMBRIN 2KG;SI;9;0;SI
