CodigoArticulo;DescripcionArticulo;Anulado;UnidadesXBulto;ValorUMedida;UnidadMedida
88;LECHE CARTON ENT. X1L. L.S.;NO;12;1;UNIDAD
9;CREMA LS PAST REX 500CM3;NO;20;1;UNIDAD
15;CREMA DE LECHE LS SACHET X5L.;NO;2;1;UNIDAD
36;DCE L.S REPOSTERO X 500G;NO;12;1;UNIDAD
42;DCE L.S COLONIAL X 250G;NO;12;1;UNIDAD
43;DCE L.S COLONIAL X 500G;SI;12;1;UNIDAD
6254;DCE LS DE LECHE COLONIAL FCALC. P X1KG;NO;8;1;UNIDAD
63;LECHE E/POLVO L.S.ENTERA X500;NO;10;1;UNIDAD
64;LECHE EN POLVO LS DESLAC X500GS;NO;10;1;UNIDAD
66;LECHE E/POLVO L.S.DESCRE.X400;NO;10;1;UNIDAD
68;LECHE EN POLVO LS ENT/BOL X25KG;NO;1;1;UNIDAD
52;MANTECA LS X100GS;NO;20;1;UNIDAD
54;MANTECA LS X200GS;NO;10;1;UNIDAD
58;MANTECA LS BUTTER  X10GS(64 UNID);NO;6;1;UNIDAD
270;MANTECA L.S. X500 GRS.;NO;10;1;UNIDAD
173;MAYONESA G.IRIS POUCHE X500C.C;NO;24;1;UNIDAD
174;MAYONESA G.IRIS SACHET X125C.C;NO;12;1;UNIDAD
260;SALCHICHA GJA IRIS X6UNID;NO;20;1;UNIDAD
261;SALCHICHA GJA IRIS X10UNID;NO;12;1;UNIDAD
22;FLAN SERENITO X 110 GRS.;SI;20;1;UNIDAD
95;POSTRE SERENITO X 130 GRS.;NO;20;1;UNIDAD
192;PACK CINDOR X 200+ 2 LTS.YOGUR;NO;12;1;UNIDAD
16;YOGURISIMO FIRME X 190GRS.;NO;20;1;UNIDAD
20;YOGURISIMO NATURAL PACK 240 GS;NO;24;1;UNIDAD
133;SER YOGUR CON CEREAL POTE 174G;NO;20;1;UNIDAD
6130;YOGURISIMO C/CEREALES X 166GRS;NO;20;1;UNIDAD
241;YOGURISIMO CREMOSO BOTE X 750G;NO;12;1;UNIDAD
92;DANONINO A/LAC PACK X 90G;NO;48;1;UNIDAD
71;CASANCREM LIGHT X330GS;NO;12;1;UNIDAD
75;QUESO GARCIA X250GS.;SI;12;1;UNIDAD
76;KIT DE BANDAS LOCAS PARA COLEC;NO;5;1;UNIDAD
147;QUESO CASANCREM DIET P.X 200GS;NO;12;1;UNIDAD
148;KIT SERENITO (AGENDA);SI;0;1;UNIDAD
166;VIDACOL PACK 4 X 320 CM3;NO;12;1;UNIDAD
167;QUESO BLANCO SER P. X 400GRS.;NO;12;1;UNIDAD
