Fecha / Hora Mov.;Concepto;Importe;Comentarios;Saldo Parcial
31/01/2023;REG.REC.SIRCREB;-14560.00;;39566166.51
31/01/2023;GRAVAMEN LEY 25413 S/CRED;-203.93;;39565962.58
31/01/2023;REG.REC.SIRCREB;-475.83;;39565486.75
31/01/2023;GRAVAMEN LEY 25413 S/CRED;-245.21;;39565241.54
31/01/2023;REG.REC.SIRCREB;-572.15;;39564669.39
31/01/2023;GRAVAMEN LEY 25413 S/CRED;-1027.76;;39563641.63
31/01/2023;REG.REC.SIRCREB;-2398.11;;39561243.52
31/01/2023;GRAVAMEN LEY 25413 S/CRED;-109.67;;39561133.85
31/01/2023;REG.REC.SIRCREB;-255.89;;39560877.96
31/01/2023;GRAVAMEN LEY 25413 S/CRED;-90.75;;39560787.21
31/01/2023;REG.REC.SIRCREB;-211.75;;39560575.46
31/01/2023;GRAVAMEN LEY 25413 S/CRED;-77.32;;39560498.14
31/01/2023;REG.REC.SIRCREB;-180.40;;39560317.74
31/01/2023;GRAVAMEN LEY 25413 S/CRED;-73.10;;39560244.64
31/01/2023;REG.REC.SIRCREB;-170.58;;39560074.06
31/01/2023;GRAVAMEN LEY 25413 S/CRED;-95.89;;39559978.17
31/01/2023;REG.REC.SIRCREB;-223.73;;39559754.44
31/01/2023;GRAVAMEN LEY 25413 S/CRED;-661.08;;39559093.36
31/01/2023;REG.REC.SIRCREB;-1542.52;;39557550.84
31/01/2023;GRAVAMEN LEY 25413 S/CRED;-85.65;;39557465.19
31/01/2023;REG.REC.SIRCREB;-199.85;;39557265.34
31/01/2023;GRAVAMEN LEY 25413 S/CRED;-107.20;;39557158.14
31/01/2023;REG.REC.SIRCREB;-250.12;;39556908.02
31/01/2023;GRAVAMEN LEY 25413 S/CRED;-147.16;;39556760.86
31/01/2023;REG.REC.SIRCREB;-343.37;;39556417.49
31/01/2023;GRAVAMEN LEY 25413 S/CRED;-95.26;;39556322.23
31/01/2023;REG.REC.SIRCREB;-222.28;;39556099.95
31/01/2023;GRAVAMEN LEY 25413 S/DEB;-3649.92;;39552450.03
31/01/2023;GRAVAMEN LEY 25413 S/CRED;-69.50;;39552380.53
31/01/2023;GRAVAMEN LEY 25413 S/CRED;-134.40;;39609800.70
31/01/2023;REG.REC.SIRCREB;-313.60;;39609487.10
31/01/2023;GRAVAMEN LEY 25413 S/CRED;-99.85;;39609387.25
31/01/2023;REG.REC.SIRCREB;-232.99;;39609154.26
31/01/2023;REG.REC.SIRCREB;-454.06;;39535929.52
31/01/2023;GRAVAMEN LEY 25413 S/CRED;-34.14;;39535895.38
31/01/2023;REG.REC.SIRCREB;-79.66;;39535815.72
31/01/2023;GRAVAMEN LEY 25413 S/CRED;-129.16;;39535686.56
31/01/2023;REG.REC.SIRCREB;-301.38;;39535385.18
31/01/2023;GRAVAMEN LEY 25413 S/CRED;-1088.68;;39534296.50
31/01/2023;REG.REC.SIRCREB;-2540.25;;39531756.25
31/01/2023;GRAVAMEN LEY 25413 S/CRED;-100.98;;39531655.27
31/01/2023;REG.REC.SIRCREB;-235.61;;39531419.66
31/01/2023;GRAVAMEN LEY 25413 S/CRED;-6157.32;;39602996.94
31/01/2023;GRAVAMEN LEY 25413 S/CRED;-442.38;;39530977.28
31/01/2023;REG.REC.SIRCREB;-1032.22;;39529945.06
31/01/2023;GRAVAMEN LEY 25413 S/CRED;-710.79;;39529234.27
31/01/2023;REG.REC.SIRCREB;-1658.51;;39527575.76
31/01/2023;GRAVAMEN LEY 25413 S/CRED;-264.17;;39527311.59
31/01/2023;REG.REC.SIRCREB;-616.39;;39526695.20
31/01/2023;GRAVAMEN LEY 25413 S/DEB;-5875.95;;39520819.25
31/01/2023;GRAVAMEN LEY 25413 S/DEB;-210.00;;39520609.25
31/01/2023;GRAVAMEN LEY 25413 S/CRED;-62.55;;39520546.70
31/01/2023;REG.REC.SIRCREB;-145.94;;39520400.76
31/01/2023;GRAVAMEN LEY 25413 S/CRED;-206.55;;39520194.21
31/01/2023;REG.REC.SIRCREB;-481.94;;39519712.27
31/01/2023;GRAVAMEN LEY 25413 S/DEB;-1.63;;39519710.64
31/01/2023;GRAVAMEN LEY 25413 S/DEB;-1.75;;39519708.89
31/01/2023;GRAVAMEN LEY 25413 S/DEB;-3.92;;39519704.97
31/01/2023;GRAVAMEN LEY 25413 S/DEB;-2.05;;39519702.92
31/01/2023;GRAVAMEN LEY 25413 S/DEB;-0.22;;39519702.70
31/01/2023;GRAVAMEN LEY 25413 S/DEB;-2.30;;39519700.40
31/01/2023;GRAVAMEN LEY 25413 S/DEB;-1.88;;39519698.52
31/01/2023;GRAVAMEN LEY 25413 S/DEB;-1.40;;39519697.12
31/01/2023;GRAVAMEN LEY 25413 S/DEB;-86.20;;39519610.92
31/01/2023;GRAVAMEN LEY 25413 S/DEB;-2.25;;39519608.67
31/01/2023;GRAVAMEN LEY 25413 S/DEB;-1.45;;39519607.22
31/01/2023;GRAVAMEN LEY 25413 S/DEB;-3.29;;39519603.93
31/01/2023;GRAVAMEN LEY 25413 S/DEB;-87.36;;39519516.57
31/01/2023;GRAVAMEN LEY 25413 S/DEB;-2.85;;39519513.72
31/01/2023;GRAVAMEN LEY 25413 S/DEB;-3.43;;39519510.29
31/01/2023;GRAVAMEN LEY 25413 S/DEB;-14.39;;39519495.90
31/01/2023;GRAVAMEN LEY 25413 S/DEB;-1.54;;39519494.36
31/01/2023;GRAVAMEN LEY 25413 S/DEB;-1.27;;39519493.09
31/01/2023;GRAVAMEN LEY 25413 S/DEB;-1.08;;39519492.01
31/01/2023;GRAVAMEN LEY 25413 S/DEB;-1.02;;39519490.99
31/01/2023;GRAVAMEN LEY 25413 S/DEB;-1.34;;39519489.65
31/01/2023;GRAVAMEN LEY 25413 S/DEB;-9.26;;39519480.39
31/01/2023;GRAVAMEN LEY 25413 S/DEB;-1.20;;39519479.19
31/01/2023;GRAVAMEN LEY 25413 S/DEB;-1.50;;39519477.69
31/01/2023;GRAVAMEN LEY 25413 S/DEB;-2.06;;39519475.63
31/01/2023;GRAVAMEN LEY 25413 S/DEB;-1.33;;39519474.30
31/01/2023;GRAVAMEN LEY 25413 S/DEB;-0.97;;39519473.33
31/01/2023;GRAVAMEN LEY 25413 S/DEB;-1.25;;39519472.08
31/01/2023;GRAVAMEN LEY 25413 S/DEB;-10.94;;39519461.14
31/01/2023;GRAVAMEN LEY 25413 S/DEB;-3.17;;39519457.97
31/01/2023;REG.REC.SIRCREB;-14367.08;;39588629.86
31/01/2023;GRAVAMEN LEY 25413 S/CRED;-160.52;;39588469.34
31/01/2023;REG.REC.SIRCREB;-374.54;;39588094.80
31/01/2023;GRAVAMEN LEY 25413 S/CRED;-103.35;;39587991.45
31/01/2023;REG.REC.SIRCREB;-241.14;;39587750.31
31/01/2023;GRAVAMEN LEY 25413 S/CRED;-235.14;;39587515.17
31/01/2023;REG.REC.SIRCREB;-548.66;;39586966.51
31/01/2023;GRAVAMEN LEY 25413 S/CRED;-6240.00;;39580726.51
31/01/2023;GRAVAMEN LEY 25413 S/DEB;-12193.85;;39612761.90
31/01/2023;GRAVAMEN LEY 25413 S/CRED;-116.62;;39612645.28
31/01/2023;REG.REC.SIRCREB;-272.10;;39612373.18
31/01/2023;GRAVAMEN LEY 25413 S/CRED;-124.96;;39612248.22
31/01/2023;GRAVAMEN LEY 25413 S/DEB;-2.24;;39519445.73
31/01/2023;GRAVAMEN LEY 25413 S/DEB;-1.25;;39519444.48
31/01/2023;GRAVAMEN LEY 25413 S/DEB;-12.17;;39519432.31
31/01/2023;GRAVAMEN LEY 25413 S/DEB;-4.61;;39519427.70
31/01/2023;GRAVAMEN LEY 25413 S/DEB;-1.23;;39519426.47
31/01/2023;GRAVAMEN LEY 25413 S/DEB;-3.01;;39519423.46
31/01/2023;GRAVAMEN LEY 25413 S/DEB;-1.22;;39519422.24
31/01/2023;GRAVAMEN LEY 25413 S/DEB;-1.37;;39519420.87
