





















0SD.TMP Ultimo Control activo:  RINDEFLETE.CMDIMPRIMIR.CLICK
13-06-2022 19:01:58 , Error: Error de sintaxis. Linea : REPORT FORM rindeflete_cr PREVIEW Error :         10 Ultimo Alias Activo: CSRIMPRIMIR Ultimo registro:          1 STR(IDCTACTE_RTE)+STR(IDPASE,12) DBF: C:\USERS\MARCO\APPDATA\LOCAL\TEMP\0000G8W902O9














































































































































































.TMP Ultimo Control activo:  RINDEFLETE.CMDIMPRIMIR.CLICK
14-06-2022 10:41:48 , Verificando OCX
14-06-2022 10:41:53 , Acceso al sistema, antes de autenticar
14-06-2022 10:41:53 , Obteniendo conexion a servidor
14-06-2022 10:41:55 , Conectado..181.224.113.20\sql2019,1170
14-06-2022 10:41:57 , Datos de la empresa
14-06-2022 10:46:45 , Verificando OCX
14-06-2022 10:46:47 , Acceso al sistema, antes de autenticar
14-06-2022 10:46:47 , Obteniendo conexion a servidor
14-06-2022 10:46:53 , Conectado..181.224.113.20\sql2019,1170
14-06-2022 10:46:54 , Datos de la empresa
14-06-2022 10:48:26 , Verificando OCX
14-06-2022 10:48:27 , Acceso al sistema, antes de autenticar
14-06-2022 10:48:28 , Obteniendo conexion a servidor
14-06-2022 10:48:30 , Conectado..181.224.113.20\sql2019,1170
14-06-2022 10:48:31 , Datos de la empresa
14-06-2022 10:54:45 , Error: No se encuentra la variable 'NSIGNO'. Linea : replace  saldo WITH saldo - (nSigno * ajuste_total ),afecta  WITH afecta - (nSigno * ajuste_total  ) IN CsrAuxCabefac Error :         12 Ultimo Alias Activo: CSRAUXCABETMP Ultimo 








































































































































































registro:          1  DBF: C:\USERS\MARCO\APPDATA\LOCAL\TEMP\0000CSG900NH.TMP Ultimo Control activo:  RINDEFLETE.CMDPROCESAR.KEYPRESS
14-06-2022 12:44:26 , Verificando OCX
14-06-2022 12:44:28 , Acceso al sistema, antes de autenticar
14-06-2022 12:44:28 , Obteniendo conexion a servidor
14-06-2022 12:44:30 , Conectado..181.224.113.20\sql2019,1170
14-06-2022 12:44:30 , Datos de la empresa
14-06-2022 12:44:57 , Error: No se encuentra el alias 'CSRCUERPO'. Linea : SELECT csrcuerpo Error :         13 Ultimo Alias Activo: CSRIMPRIMIR Ultimo registro:          1 STR(GRUPO,8)+STR(ID,10)+STR(IDSUB,10) DBF: C:\USERS\MARCO\APPDATA\LOCAL\TEMP\00005











































































